Location;Borough
Millbank (south of Thorney Street);Westminster
Bishopsgate;City of London
Southwark Bridge;Southwark
Southwark Bridge Road;Southwark
Tooley Street;Southwark
Southwark Bridge Road (north - between Flat Iron Square and America Street);Southwark
Albert Embankment (south of Salamanca Street);Lambeth
Strand;Westminster
Charing Cross Road;Westminster
Lambeth Palace Road;Lambeth
Whitehall (south of Horse Guards Avenue);Westminster
Westminster Bridge;Lambeth
Victoria Embankment (by Cleopatra's Needle);Westminster
Victoria Embankment (between Derby Gate and Westminster Bridge);Westminster
Millbank (north of Great Peter Street);Westminster
Lambeth Bridge;Westminster
Waterloo Bridge;Lambeth
Victoria Street;Westminster
Bridge Street;Westminster
Pall Mall;Westminster
Buckingham Palace Road;Westminster
Northumberland Avenue;Westminster
Kennington Road (north);Lambeth
Lambeth Road;Lambeth
Kennington Road (south of Brook Drive);Lambeth
Westminster Bridge Road;Lambeth
Waterloo Road;Southwark
Blackfriars Road (Southwark station);Southwark
Temple;City of London
Blackfriars Bridge;City of London
London Bridge;City of London
Borough High Street;Southwark
Bermondsey Street;Southwark
London Road;Southwark
Southwark Street;Southwark
Lambeth Road (west of St. George's Road);Southwark
Borough Road;Southwark
Minories;City of London
Gracechurch Street;City of London
Blackfriars Road;Southwark
Newgate Street;City of London
High Holborn;Camden
Holborn;City of London
New Bridge Street;City of London
Strand (east);Westminster
Rosebery Avenue (south);Camden
Clerkenwell Road (west);Camden
Moorgate;City of London
Farringdon Street;City of London
Aldgate High Street;City of London
Strand (west);Westminster
Theobald's Road;Camden
City Road;Islington
Kingsway;Camden
Aldwych;Westminster
Bloomsbury Way;Camden
Southampton Row;Camden
Bloomsbury Street;Camden
Tottenham Court Road (north);Camden
Tottenham Court Road (south);Camden
Oxford Street (east);Westminster
Charing Cross Road;Camden
Regent Street;Westminster
Wigmore Street;Westminster
Mortimer Street;Westminster
Farringdon Road (near station);Camden
Fetter Lane;City of London
Rosebery Avenue (north);Islington
Goswell Road (south);Islington
Portland Place;Westminster
Shaftesbury Avenue;Westminster
Tavistock Square (A4200);Camden
Grays Inn Road (north);Camden
Oxford Street (west);Westminster
Gloucester Place;Westminster
Baker Street;Westminster
Piccadilly;Westminster
York Road;Lambeth
Stamford Street;Lambeth
Great Dover Street;Southwark
Long Lane;Southwark
Borough High Street;Southwark
Southwark Street;Southwark
Newington Causeway;Southwark
Upper Thames Street (west of Southwark Bridge);City of London
Lower Thames Street;City of London
Clerkenwell Road (east);Islington
Old Street;Islington
Goswell Road (north);Islington
London Wall (west);City of London
London Wall (east);City of London
Grays Inn Road (south);Camden
Houndsditch;City of London
Bevis Marks;City of London
King's Cross Road;Camden
Crucifix Lane (Druid Street);Southwark
Horseferry Road (east of Tufton Street);Westminster
The Cut;Lambeth
Bunhill Row;Islington
St. John Street;Islington
Hunter Street;Camden
Great Queen Street;Camden
Calthorpe Street;Camden
New Bond Street;Westminster
Great Smith Street (north of Little Smith Street);Westminster
Beech Street;City of London
Montague Place;Camden
Buckingham Gate;Westminster
Thayer Street;Westminster
Eastcheap;City of London
Grosvenor Street;Westminster
Seymour Place;Westminster
Regent Square;Camden
Wimpole Street;Westminster
George Street (east);Westminster
Montague Street;Camden
Drury Lane;Westminster
Torrington Place;Camden
Mabledon Place;Camden
Claremont Square;Islington
Leadenhall Street;City of London
Cannon Street;City of London
Central Street;Islington
Charterhouse Street;Islington
Prince's Street;City of London
Paul Street;Islington
Fleet Street;City of London
Golden Lane;Islington
Gresham Street;City of London
New Cavendish Street;Westminster
South Audley Street;Westminster
Old Broad Street;City of London
Wardour Street;Westminster
Berkeley Street;Westminster
Snow Hill (West Smithfield);City of London
Churchyard Row;Southwark
Black Prince Road (east of Gibson Street);Lambeth
The Mall;Westminster
Belvedere Road;Lambeth
Petty France;Westminster
Birdcage Walk;Westminster
Constitution Hill;Westminster
Garrick Street;Westminster
Welbeck Street;Westminster
Crawford Street (west);Westminster
Brook Street;Westminster
Lambs Conduit Street;Camden
Upper Ground;Lambeth
Sumner Steet;Southwark
Hercules Road;Lambeth
Webber Street (east);Southwark
Weston Street;Southwark
Cornwall Road (north);Lambeth
Jewry Street;City of London
Carey Street;Camden
Appold Street;Hackney
Wood Street;City of London
Lime Street;City of London
Old Compton Street;Westminster
Lloyd Baker Street;Islington
Fitzroy Street;Camden
Emery Hill Street;Westminster
Lambeth High Street;Lambeth
Brushfield Street;Tower Hamlets
Trinity Street (east);Southwark
Gordon Square;Camden
Turnmill Street;Islington
Carlisle Street;Lambeth
Roupell Street;Lambeth
