station_name;borough
St. Mary Axe, Aldgate;City of London
Jewry Street, Aldgate;City of London
Central House, Aldgate;City of London
Leman Street, Aldgate;City of London
Braham Street, Aldgate;City of London
Houndsditch, Aldgate;City of London
Graham Street, Angel;Islington
Claremont Square, Angel;Islington
Rodney Street, Angel;Islington
Risinghill Street, Angel;Islington
Islington Green, Angel;Islington
Chadwell Street, Angel;Islington
Liverpool Road (N1 Centre), Angel;Islington
Torrens Street, Angel;Islington
City Road, Angel;Islington
Charlotte Terrace, Angel;Islington
Cloudesley Road, Angel;Islington
Sirdar Road, Avondale;Kensington and Chelsea
Grenfell Road, Avondale;Kensington and Chelsea
Rifle Place, Avondale;Kensington and Chelsea
Walmer Road, Avondale;Kensington and Chelsea
Freston Road, Avondale;Kensington and Chelsea
Clarendon Road, Avondale;Kensington and Chelsea
Evesham Street, Avondale;Kensington and Chelsea
Queen Street 2, Bank;Westminster
Cheapside, Bank;Westminster
Queen Street, Bank;Westminster
Queen Street 1, Bank;Westminster
Bank of England Museum, Bank;Westminster
Lavington Street, Bankside;Southwark
Southwark Street, Bankside;Southwark
New Globe Walk, Bankside;Southwark
Park Street, Bankside;Southwark
Tate Modern, Bankside;Southwark
Poured Lines, Bankside;Southwark
Bankside Mix, Bankside;Southwark
Golden Lane, Barbican;City of London
Barbican Centre, Barbican;City of London
Museum of London, Barbican;City of London
Aldersgate Street, Barbican;City of London
Heath Road, Battersea;Wandsworth
Holden Street, Battersea;Wandsworth
Hibbert Street, Battersea;Wandsworth
Battersea Church Road, Battersea;Wandsworth
Culvert Road, Battersea;Wandsworth
Silverthorne Road, Battersea;Wandsworth
Orbel Street, Battersea;Wandsworth
Sheepcote Lane, Battersea;Wandsworth
Ingrave Street, Battersea;Wandsworth
Sugden Road, Battersea;Wandsworth
Ashley Crescent, Battersea;Wandsworth
Vicarage Crescent, Battersea;Wandsworth
Simpson Street, Battersea;Wandsworth
Westbridge Road, Battersea;Wandsworth
Fawcett Close, Battersea;Wandsworth
Austin Road, Battersea;Wandsworth
Surrey Lane, Battersea;Wandsworth
Stanley Grove, Battersea;Wandsworth
Usk Road, Battersea;Wandsworth
Bradmead, Battersea Park;Wandsworth
Sopwith Way, Battersea Park;Wandsworth
Battersea Power Station, Battersea Park;Wandsworth
Ethelburga Estate, Battersea Park;Wandsworth
Albert Bridge Road, Battersea Park;Wandsworth
Austin Road, Battersea Park;Wandsworth
Gas Holders, Battersea Park;Wandsworth
Queen's Circus, Battersea Park;Wandsworth
Alfreda Street, Battersea Park;Wandsworth
Prince of Wales Drive, Battersea Park;Wandsworth
Cleveland Gardens, Bayswater;Wandsworth
Gloucester Terrace, Bayswater;Wandsworth
Bishop's Bridge Road West, Bayswater;Wandsworth
Hereford Road, Bayswater;Wandsworth
Whiteley's, Bayswater;Wandsworth
Ilchester Gardens, Bayswater;Wandsworth
Bishop's Bridge Road East, Bayswater;Wandsworth
Princes Square, Bayswater;Wandsworth
Orsett Terrace, Bayswater;Wandsworth
Lancaster Gate , Bayswater;Wandsworth
Westbourne Grove, Bayswater;Wandsworth
Devonshire Terrace, Bayswater;Wandsworth
Grosvenor Crescent, Belgravia;Westminster
Eaton Square, Belgravia;Westminster
Bourne Street, Belgravia;Westminster
Eaton Square (South), Belgravia;Westminster
Belgrave Square, Belgravia;Westminster
Crimscott Street, Bermondsey;Southwark
South Bermondsey Station, Bermondsey;Southwark
Bermondsey Station, Bermondsey;Southwark
Tanner Street, Bermondsey;Southwark
The Blue, Bermondsey;Southwark
Tooley Street, Bermondsey;Southwark
George Row, Bermondsey;Southwark
One Tower Bridge, Bermondsey;Southwark
Clements Road, Bermondsey;Southwark
Long Lane , Bermondsey;Southwark
Bermondsey Street, Bermondsey;Southwark
Tower Wharf, Bermondsey;Southwark
Harris Academy, Bermondsey;Southwark
Tyers Gate, Bermondsey;Southwark
Durant Street, Bethnal Green;Tower Hamlets
Wellington Row, Bethnal Green;Tower Hamlets
Bethnal Green Gardens, Bethnal Green;Tower Hamlets
Cleveland Way, Bethnal Green;Tower Hamlets
Bethnal Green Garden, Bethnal Green;Tower Hamlets
Finnis Street, Bethnal Green;Tower Hamlets
Bancroft Road, Bethnal Green;Tower Hamlets
